,full_rating,full_score,rank,title,url,series,series_no,avg_rating,rating_count,total_score,score_votes
33," 4.31 avg rating — 10,614 ratings","
score: 3,691,
              and
42 people voted
               
              
            ",34,"Lilith's Brood (Xenogenesis, #1-3)",/book/show/60926.Lilith_s_Brood,Xenogenesis,1-3,4.31," 10,614","3,691",42
34," 4.20 avg rating — 12,113 ratings","
score: 3,566,
              and
42 people voted
               
              
            ",35,"Brothers in Arms (Vorkosigan Saga, #5)",/book/show/296182.Brothers_in_Arms,Vorkosigan Saga,5,4.20," 12,113","3,566",42
35," 4.07 avg rating — 97,180 ratings","
score: 3,507,
              and
40 people voted
               
              
            ",36,"A Wind in the Door (A Wrinkle in Time Quintet, #2)",/book/show/18130.A_Wind_in_the_Door,A Wrinkle in Time Quintet,2,4.07," 97,180","3,507",40
36," 4.43 avg rating — 13,283 ratings","
score: 3,503,
              and
41 people voted
               
              
            ",37,"A Civil Campaign (Vorkosigan Saga, #12)",/book/show/61899.A_Civil_Campaign,Vorkosigan Saga,12,4.43," 13,283","3,503",41
37," 4.17 avg rating — 13,469 ratings","
score: 3,432,
              and
41 people voted
               
              
            ",38,"Cetaganda (Vorkosigan Saga, #9)",/book/show/76812.Cetaganda,Vorkosigan Saga,9,4.17," 13,469","3,432",41
38, 3.87 avg rating — 181 ratings,"
score: 3,340,
              and
34 people voted
               
              
            ",39,"Dragon Dawn (Dinosaurian Time Travel, #1)",/book/show/20550685-dragon-dawn,Dinosaurian Time Travel,1,3.87, 181,"3,340",34
39," 3.95 avg rating — 10,410 ratings","
score: 3,338,
              and
40 people voted
               
              
            ",40,"The Snow Queen (The Snow Queen Cycle, #1)",/book/show/139986.The_Snow_Queen,The Snow Queen Cycle,1,3.95," 10,410","3,338",40
40,"really liked it 4.00 avg rating — 19,761 ratings","
score: 3,287,
              and
38 people voted
               
              
            ",41,"The Ship Who Sang (Brainship, #1)",/book/show/203288.The_Ship_Who_Sang,Brainship,1,4.00," 19,761","3,287",38
41," 3.90 avg rating — 11,041 ratings","
score: 3,159,
              and
37 people voted
               
              
            ",42,Downbelow Station (The Company Wars #1),/book/show/57045.Downbelow_Station,,,3.90," 11,041","3,159",37
42," 3.83 avg rating — 14,438 ratings","
score: 2,967,
              and
36 people voted
               
              
            ",43,"Falling Free (Vorkosigan Saga, #4)",/book/show/61915.Falling_Free,Vorkosigan Saga,4,3.83," 14,438","2,967",36
43," 4.15 avg rating — 499,319 ratings","
score: 2,868,
              and
32 people voted
               
              
            ",44,"Cinder (The Lunar Chronicles, #1)",/book/show/11235712-cinder,The Lunar Chronicles,1,4.15," 499,319","2,868",32
44," 3.75 avg rating — 10,360 ratings","
score: 2,816,
              and
35 people voted
               
              
            ",45,"Ethan of Athos (Vorkosigan Saga, #3)",/book/show/990093.Ethan_of_Athos,Vorkosigan Saga,3,3.75," 10,360","2,816",35
45," 4.24 avg rating — 40,917 ratings","
score: 2,744,
              and
32 people voted
               
              
            ",46,"Dragonsong (Harper Hall, #1)",/book/show/28541.Dragonsong,Harper Hall,1,4.24," 40,917","2,744",32
46, 4.17 avg rating — 289 ratings,"
score: 2,687,
              and
28 people voted
               
              
            ",47,Shadow Over Avalon,/book/show/22677216-shadow-over-avalon,,,4.17, 289,"2,687",28
